open_time,Open,High,Low,Close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-10-30,0.5287,0.5287,0.5193,0.5231,385136683.3,2024-10-30 23:59:59.999,201716347.22235,481922,188468566.4,98716029.62434,0
2024-10-31,0.5231,0.5240,0.5027,0.5095,528766327.9,2024-10-31 23:59:59.999,271228007.04687,600833,250334688.8,128408755.64981,0
2024-11-01,0.5095,0.5244,0.5022,0.5130,844387440.1,2024-11-01 23:59:59.999,435732175.69672,846317,411850199.7,212544353.72224,0
2024-11-02,0.5130,0.5161,0.5061,0.5103,249371283.3,2024-11-02 23:59:59.999,127430013.17597,405595,119699195.4,61163733.83924,0
2024-11-03,0.5103,0.5111,0.4914,0.5029,595383409.5,2024-11-03 23:59:59.999,297492932.21316,704485,270097403.0,134973336.80574,0
2024-11-04,0.5029,0.5146,0.4955,0.5032,596924915.8,2024-11-04 23:59:59.999,302488212.00847,666758,289445084.9,146687715.87443,0
2024-11-05,0.5032,0.5188,0.5016,0.5140,512641289.4,2024-11-05 23:59:59.999,261685344.22957,554455,245415635.8,125280506.26824,0
2024-11-06,0.5140,0.5471,0.5139,0.5421,1152595914.9,2024-11-06 23:59:59.999,614793879.98540,1045555,567270956.8,302582726.01412,0
2024-11-07,0.5422,0.5786,0.5380,0.5559,1192827865.3,2024-11-07 23:59:59.999,661862766.61639,1077415,585075256.1,324586646.38714,0
2024-11-08,0.5559,0.5604,0.5415,0.5541,726142322.3,2024-11-08 23:59:59.999,399987050.19862,722005,345854618.6,190496994.29218,0
2024-11-09,0.5540,0.5625,0.5435,0.5596,669763048.0,2024-11-09 23:59:59.999,369551819.39300,629375,331849397.9,183167358.55038,0
2024-11-10,0.5596,0.6193,0.5559,0.5888,2225216082.1,2024-11-10 23:59:59.999,1315927062.66717,2047856,1062119120.1,628382264.61433,0
2024-11-11,0.5888,0.6340,0.5706,0.6216,2237371621.6,2024-11-11 23:59:59.999,1339010276.13957,1886688,1100215868.9,658941067.48339,0
2024-11-12,0.6217,0.7404,0.5972,0.7048,6224671274.2,2024-11-12 23:59:59.999,4141323674.58370,5690685,3046012353.6,2027877284.35797,0
2024-11-13,0.7048,0.7491,0.6408,0.6901,4167165476.3,2024-11-13 23:59:59.999,2881758184.92832,4477550,2002845147.5,1385746302.86337,0
2024-11-14,0.6901,0.8478,0.6827,0.7741,4729105444.8,2024-11-14 23:59:59.999,3551714483.08530,4894541,2294575090.2,1724207763.65769,0
2024-11-15,0.7741,0.9283,0.7705,0.8924,5745756328.7,2024-11-15 23:59:59.999,4881307513.19750,6435613,2837207990.0,2412528586.90578,0
2024-11-16,0.8925,1.2700,0.8782,1.1220,8845498188.7,2024-11-16 23:59:59.999,9630255449.86565,10544049,4336940030.8,4718954687.37458,0
2024-11-17,1.1219,1.1612,1.0048,1.0550,4633147046.2,2024-11-17 23:59:59.999,4968802485.75466,6459707,2238829954.1,2401789366.43635,0
2024-11-18,1.0551,1.1874,1.0551,1.1151,3843805877.3,2024-11-18 23:59:59.999,4351139167.97346,5369786,1880011683.6,2127944492.15647,0
2024-11-19,1.1150,1.1492,1.0692,1.1012,2207225694.5,2024-11-19 23:59:59.999,2433718389.22810,3362088,1058685314.1,1167777433.98042,0
2024-11-20,1.1012,1.1520,1.0561,1.1045,2339322679.7,2024-11-20 23:59:59.999,2586661645.53179,3550581,1112502556.6,1230719326.49475,0
2024-11-21,1.1045,1.2663,1.0771,1.2477,3446934273.4,2024-11-21 23:59:59.999,3969282926.66466,4816191,1701171013.8,1960406680.22526,0
2024-11-22,1.2478,1.5036,1.2474,1.4739,6120042748.9,2024-11-22 23:59:59.999,8611531081.56854,8709832,2987082738.4,4203744988.21420,0
2024-11-23,1.4739,1.6350,1.4136,1.4697,3803475658.2,2024-11-23 23:59:59.999,5827142639.47687,6848979,1824485767.4,2796594772.16020,0
2024-11-24,1.4698,1.5140,1.2795,1.4334,3210481005.3,2024-11-24 23:59:59.999,4472043684.81813,5605948,1556994105.1,2169381799.80952,0
2024-11-25,1.4335,1.5400,1.3561,1.4151,3377460531.4,2024-11-25 23:59:59.999,4894205635.95471,5735346,1630164357.2,2362529214.10039,0
2024-11-26,1.4150,1.4588,1.2848,1.3993,2914599022.7,2024-11-26 23:59:59.999,4005686772.22400,4881948,1400977772.7,1925939228.13325,0
2024-11-27,1.3992,1.5233,1.3527,1.4709,2148076942.2,2024-11-27 23:59:59.999,3092160765.08235,3594237,1062655322.1,1530508368.14873,0
2024-11-28,1.4709,1.5480,1.4309,1.5431,1539112331.8,2024-11-28 23:59:59.999,2270412411.02626,2935921,745907503.4,1100934904.27084,0
2024-11-29,1.5430,1.8162,1.5242,1.8019,3762199435.6,2024-11-29 23:59:59.999,6289693270.51572,5761223,1870114027.1,3127120619.75836,0
2024-11-30,1.8019,1.9593,1.7655,1.9530,3850463492.6,2024-11-30 23:59:59.999,7215744008.83232,6904054,1883105236.2,3531000797.63160,0
2024-12-01,1.9529,2.3549,1.8472,2.2942,4292474495.8,2024-12-01 23:59:59.999,8726869389.41545,8368593,2168607317.6,4417702831.19345,0
2024-12-02,2.2942,2.8767,2.2168,2.7243,9044623069.7,2024-12-02 23:59:59.999,22687182031.46203,18662136,4476645766.5,11232293885.56052,0
2024-12-03,2.7242,2.9160,2.2860,2.5127,7072280505.4,2024-12-03 23:59:59.999,18360651051.60881,16950348,3437882886.4,8931547580.26721,0
2024-12-04,2.5127,2.6859,2.2810,2.3600,3480538457.2,2024-12-04 23:59:59.999,8649282921.43263,9489327,1703004894.4,4234344219.95596,0
2024-12-05,2.3599,2.4966,2.1800,2.2455,3743370865.0,2024-12-05 23:59:59.999,8729443566.76518,9772591,1807489477.3,4218971510.88896,0
2024-12-06,2.2454,2.4650,2.2275,2.4266,2289916327.8,2024-12-06 23:59:59.999,5354072307.25172,5908407,1126635190.7,2635523962.66624,0
2024-12-07,2.4267,2.6227,2.3851,2.6120,1781723598.0,2024-12-07 23:59:59.999,4423104601.89543,5237417,871026173.5,2163264818.17381,0
2024-12-08,2.6119,2.6488,2.4858,2.6031,1526513193.2,2024-12-08 23:59:59.999,3922731451.77688,4836418,738532285.1,1898463810.38414,0
2024-12-09,2.6030,2.6090,2.0100,2.2122,3259621093.9,2024-12-09 23:59:59.999,7637744365.75925,8101688,1551940877.1,3640687449.13198,0
2024-12-10,2.2122,2.4150,1.9001,2.3688,4445745655.9,2024-12-10 23:59:59.999,9603303894.25335,10159351,2196045457.1,4748551674.00124,0
2024-12-11,2.3688,2.4698,2.2296,2.3939,2235328101.2,2024-12-11 23:59:59.999,5280785891.73318,6108235,1087417894.6,2570004215.62529,0
2024-12-12,2.3938,2.4841,2.3064,2.3377,1785013770.3,2024-12-12 23:59:59.999,4291952474.54106,4885540,871050854.7,2095268128.68654,0
2024-12-13,2.3376,2.4799,2.2825,2.4220,1474408852.9,2024-12-13 23:59:59.999,3520858044.46555,4092844,733447511.9,1752010302.87640,0
