open_time,Open,High,Low,Close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2023-08-23,20.5710,21.8210,20.2830,21.7170,30818080,2023-08-23 23:59:59.999,647566165.0960,892206,15671247,329458685.9420,0
2023-08-24,21.7180,21.9990,20.6520,21.0390,26892913,2023-08-24 23:59:59.999,574097366.3450,775041,13185091,281489375.2110,0
2023-08-25,21.0390,21.0430,20.0770,20.4090,26177798,2023-08-25 23:59:59.999,537352230.9940,745134,12994881,266762905.3050,0
2023-08-26,20.4080,20.4340,20.1730,20.2720,10279045,2023-08-26 23:59:59.999,208570191.0820,319858,5057049,102610202.4920,0
2023-08-27,20.2730,20.9160,20.2320,20.7790,14307976,2023-08-27 23:59:59.999,294785309.0910,437325,7193020,148196202.4270,0
2023-08-28,20.7780,20.7850,20.0050,20.5490,21062628,2023-08-28 23:59:59.999,431022063.5680,587215,10372359,212287460.7710,0
2023-08-29,20.5490,22.0630,20.1000,21.7720,41350423,2023-08-29 23:59:59.999,876820798.4240,1081840,20787293,440998248.7540,0
2023-08-30,21.7720,21.9880,20.5780,20.8070,24341151,2023-08-30 23:59:59.999,516063005.7570,692691,11891216,252135596.6530,0
2023-08-31,20.8070,21.0920,19.3560,19.7200,29702728,2023-08-31 23:59:59.999,600730634.3590,800853,14303340,289425673.7300,0
2023-09-01,19.7210,19.9250,19.0090,19.3150,25540447,2023-09-01 23:59:59.999,497915975.9160,679518,12652743,246681439.6450,0
2023-09-02,19.3160,19.7000,19.1140,19.4800,14319110,2023-09-02 23:59:59.999,278673520.1440,439263,7079395,137774890.3810,0
2023-09-03,19.4810,19.6500,19.2100,19.5550,10800734,2023-09-03 23:59:59.999,210120074.3310,359483,5335935,103822167.7070,0
2023-09-04,19.5540,20.0350,19.1380,19.5140,19281445,2023-09-04 23:59:59.999,377385352.1490,550009,9581455,187571408.6800,0
2023-09-05,19.5140,20.6000,19.0180,20.2570,37150533,2023-09-05 23:59:59.999,738844816.1630,968861,18568306,369216376.2520,0
2023-09-06,20.2570,20.3800,19.1000,19.6200,32343010,2023-09-06 23:59:59.999,635723984.1780,841032,15869650,311952914.0360,0
2023-09-07,19.6190,19.9920,19.3120,19.9000,22487074,2023-09-07 23:59:59.999,441744239.9630,559174,11330704,222629833.8460,0
2023-09-08,19.9010,20.2800,19.3410,19.5960,20282172,2023-09-08 23:59:59.999,399771126.1480,558078,10046902,198008114.0520,0
2023-09-09,19.5970,19.5990,19.3520,19.4250,8326344,2023-09-09 23:59:59.999,162295992.7130,254466,4071085,79358027.7040,0
2023-09-10,19.4250,19.4260,17.7330,18.2190,51853103,2023-09-10 23:59:59.999,951172732.9000,1317383,25213061,462334876.0700,0
2023-09-11,18.2200,18.4440,17.3200,17.7150,60716240,2023-09-11 23:59:59.999,1079984186.2300,1414724,30465437,541964153.8020,0
2023-09-12,17.7160,18.8400,17.5540,17.9040,57573091,2023-09-12 23:59:59.999,1041021946.4790,1320954,29519065,533933433.2190,0
2023-09-13,17.9030,18.5990,17.6760,18.3890,57221737,2023-09-13 23:59:59.999,1037987045.8460,1332257,28844437,523377337.9950,0
2023-09-14,18.3900,19.3350,18.3720,18.8350,49070641,2023-09-14 23:59:59.999,926857384.2680,1280561,24979216,471837280.8720,0
2023-09-15,18.8350,19.4950,18.5430,19.1360,29725596,2023-09-15 23:59:59.999,564217059.9310,733284,15112537,286941201.2940,0
2023-09-16,19.1370,19.4590,18.8460,19.1120,19285849,2023-09-16 23:59:59.999,368826674.7970,517850,9618160,183968218.0990,0
2023-09-17,19.1110,19.1260,18.6000,18.7980,15725521,2023-09-17 23:59:59.999,297139476.5010,406087,7643387,144430222.6730,0
2023-09-18,18.7990,20.1500,18.5600,19.6280,42760004,2023-09-18 23:59:59.999,834328552.8140,1087255,21600224,421423143.2510,0
2023-09-19,19.6270,20.4440,19.5530,20.0190,29645789,2023-09-19 23:59:59.999,592882157.7200,907987,14899054,298018126.0900,0
2023-09-20,20.0180,20.5470,19.7760,20.2780,30805255,2023-09-20 23:59:59.999,619843488.2400,833424,15405689,310035766.1860,0
2023-09-21,20.2770,20.2880,19.2730,19.4420,26396483,2023-09-21 23:59:59.999,519528099.3140,688752,12948611,254896752.0940,0
2023-09-22,19.4430,19.8040,19.1300,19.4170,20352103,2023-09-22 23:59:59.999,396839060.0840,526383,10279909,200480315.2090,0
2023-09-23,19.4160,19.5760,19.2740,19.4720,10660145,2023-09-23 23:59:59.999,207072720.8820,304964,5277035,102502928.0740,0
2023-09-24,19.4720,19.6710,19.1700,19.3510,13664134,2023-09-24 23:59:59.999,266543525.3780,365665,6904324,134699272.8290,0
2023-09-25,19.3500,19.7300,19.0580,19.3810,18576003,2023-09-25 23:59:59.999,361752878.4090,464734,9388528,182884080.5650,0
2023-09-26,19.3800,19.5210,18.8120,19.0160,17600640,2023-09-26 23:59:59.999,338728937.4010,431842,8650629,166545182.6660,0
2023-09-27,19.0160,19.4740,18.7160,19.1200,23641492,2023-09-27 23:59:59.999,451195233.2120,548276,11860312,226422325.9940,0
2023-09-28,19.1200,19.9820,19.0850,19.9480,21507958,2023-09-28 23:59:59.999,418116534.9840,553052,11028903,214438068.8250,0
2023-09-29,19.9480,20.4570,19.8310,20.2600,23548560,2023-09-29 23:59:59.999,475258539.5740,595441,11728529,236717015.3890,0
2023-09-30,20.2590,21.7970,20.0550,21.3480,33519444,2023-09-30 23:59:59.999,705647581.0680,816320,16980813,357369316.7680,0
2023-10-01,21.3470,24.5060,21.1180,23.8730,59267947,2023-10-01 23:59:59.999,1358234794.0180,1560835,30517220,698794170.2330,0
2023-10-02,23.8730,24.8300,22.8260,23.3660,67458697,2023-10-02 23:59:59.999,1612967960.7130,1663171,33484732,800848388.0120,0
2023-10-03,23.3660,24.7770,23.1650,23.5940,61010682,2023-10-03 23:59:59.999,1461439967.5020,1579981,30609615,733420984.8550,0
2023-10-04,23.5950,23.8500,22.5430,23.1060,50019138,2023-10-04 23:59:59.999,1157952415.3510,1280717,25055731,580229115.3610,0
2023-10-05,23.1060,23.7500,22.4830,22.6820,41702522,2023-10-05 23:59:59.999,961915959.4930,1073265,20872931,481565367.9530,0
2023-10-06,22.6810,23.7800,22.6480,23.3910,41404412,2023-10-06 23:59:59.999,962256722.1980,1093577,21074790,489873573.9780,0
2023-10-07,23.3910,24.2080,23.0640,23.2790,25241378,2023-10-07 23:59:59.999,593892197.6680,741083,12519382,294624148.9640,0
2023-10-08,23.2790,23.6420,23.0460,23.2040,21066172,2023-10-08 23:59:59.999,491670519.3330,607709,10408354,242951897.9930,0
2023-10-09,23.2040,23.3640,21.5000,22.0770,36992649,2023-10-09 23:59:59.999,829201151.3530,1006683,18094985,405561359.9710,0
2023-10-10,22.0780,22.4770,21.6760,22.1070,26416053,2023-10-10 23:59:59.999,583356092.8350,719571,13175613,290986846.3160,0
2023-10-11,22.1060,22.4000,21.6120,21.9980,30822295,2023-10-11 23:59:59.999,679457253.1860,802191,15380611,339148521.3340,0
2023-10-12,21.9980,22.0450,20.8200,21.2740,29413394,2023-10-12 23:59:59.999,629267410.8410,747134,14149889,302747577.2880,0
2023-10-13,21.2740,22.1960,21.1030,21.8290,23713665,2023-10-13 23:59:59.999,512140597.7960,678075,12129026,261977547.2370,0
2023-10-14,21.8280,22.3680,21.7800,21.9830,15722742,2023-10-14 23:59:59.999,345839812.7910,456093,7847214,172633305.3300,0
2023-10-15,21.9820,22.1710,21.6400,21.9180,15610468,2023-10-15 23:59:59.999,341773332.5220,453535,7770649,170153346.6380,0
2023-10-16,21.9180,25.0480,21.8760,23.9390,57886017,2023-10-16 23:59:59.999,1352444122.7000,1564437,29645026,692599044.6660,0
2023-10-17,23.9390,24.5660,23.3800,23.9300,44618234,2023-10-17 23:59:59.999,1072319246.1790,1229501,22438817,539445968.2110,0
2023-10-18,23.9300,24.4330,23.3450,23.4080,28370163,2023-10-18 23:59:59.999,676626772.2720,819489,14078933,335873615.5780,0
2023-10-19,23.4080,25.9630,23.0680,24.9100,49595775,2023-10-19 23:59:59.999,1214922745.7560,1419826,25397257,622267943.9240,0
2023-10-20,24.9090,27.5200,24.7120,27.0100,69752205,2023-10-20 23:59:59.999,1849481151.9100,1972589,35942349,952947874.0750,0
2023-10-21,27.0100,30.3680,26.6280,29.3120,72105466,2023-10-21 23:59:59.999,2073857924.0340,2337584,36949917,1062582072.5390,0
2023-10-22,29.3120,29.9950,27.9100,29.0310,44413942,2023-10-22 23:59:59.999,1286003384.9370,1513413,22138184,641195194.4740,0
2023-10-23,29.0300,32.9290,28.7200,31.9020,92027939,2023-10-23 23:59:59.999,2782270963.9970,3202715,46246934,1398830520.8350,0
2023-10-24,31.9020,32.6220,29.4540,30.1570,75311731,2023-10-24 23:59:59.999,2352860508.3110,2998618,37236768,1163682893.3400,0
2023-10-25,30.1570,33.9600,29.9720,32.4460,63044534,2023-10-25 23:59:59.999,2036331997.3470,3013632,31697830,1024058474.7270,0
2023-10-26,32.4450,33.2880,30.7120,32.7700,46693851,2023-10-26 23:59:59.999,1495340201.0030,2166650,22935915,734518464.5660,0
2023-10-27,32.7710,33.4220,31.0500,31.7390,41526306,2023-10-27 23:59:59.999,1342913840.1280,1965253,20395014,659810258.8220,0
2023-10-28,31.7390,32.5320,31.2980,31.6140,18714282,2023-10-28 23:59:59.999,598516281.0560,853165,9149328,292698560.9390,0
